date_incident_concat,date_reported,year_reported,year_month_reported,year_qtr_reported,incident_id,nearest_port_code,nearest_port_name,nearest_port_state,nearest_port_lat,nearest_port_lng,incident_lat,incident_lng,fatalities,missing,casualties,survivors,female_casualties,male_casualties,child_casualties,cause_of_death_code,cause_of_death,cause_of_death_category,location_code,location_desc,url_code,url_desc,source_quality_code,source_desc
2018-10-09|45973,2018-10-09,2018,2018-10,2018-4,45973,2301,Brownsville,Texas,25.90139,-97.49722,26.010098116239,-97.398606846875,1,0,1,,,,,131,Unknown,Unknown,1191,"Near Brownsville, Cameron County, Texas, USA",10340,https://bit.ly/2IV1UhH,5,"officials such as coroners, medical examiners, or gov officials OR from multiple humanitarian actors"
2018-11-02|46076,2018-11-02,2018,2018-11,2018-4,46076,2301,Brownsville,Texas,25.90139,-97.49722,25.881211791344,-97.479659873636,1,0,1,,,1,,102,Drowning,Drowning,1444,"Río Bravo, near Colonia Los Pinos, Matamoros, Tamaulipas, Mexico",10307,"https://bit.ly/2BgrsUb, https://bit.ly/2Kecscj",3,multiple media reports
2018-11-16|46080,2018-11-16,2018,2018-11,2018-4,46080,2301,Brownsville,Texas,25.90139,-97.49722,25.888653822568003,-97.52318676153,1,0,1,,,1,,104,Presumed drowning,Drowning,1443,"Río Bravo, near Colonia Control Tres Norte, Matamoros, Tamaulipas, Mexico",10360,"https://bit.ly/2Kecscj, https://bit.ly/2FsCEkH",3,multiple media reports
2018-12-02|46126,2018-12-02,2018,2018-12,2018-4,46126,2301,Brownsville,Texas,25.90139,-97.49722,25.886732,-97.518249,1,0,1,,,,,104,Presumed drowning,Drowning,1436,"Río Bravo, near Brownsville, Cameron County, Texas, USA",10423,https://bit.ly/2UfVEpM,5,"officials such as coroners, medical examiners, or gov officials OR from multiple humanitarian actors"
2015-02-28|40321,2015-02-28,2015,2015-2,2015-1,40321,2302,Del Rio,Texas,29.3625,-100.89639,29.7110679,-101.5693805,6,0,6,,1,4,,102,Drowning,Drowning,1332,Rio Grande,10005,http://bit.ly/1IhfIel,1,one media source
2015-05-28|40355,2015-05-28,2015,2015-5,2015-2,40355,2302,Del Rio,Texas,29.3625,-100.89639,29.0854346,-100.8635469,8,0,8,,,,,102,Drowning,Drowning,1359,"Rio Grande, Mexican side of border",10120,http://bit.ly/2bFuntl,1,one media source
2015-09-28|40414,2015-09-28,2015,2015-9,2015-3,40414,2302,Del Rio,Texas,29.3625,-100.89639,29.3621053,-100.9118214,1,0,1,,,,,102,Drowning,Drowning,1528,"US side of Rio Grande River near Brackettville, Del Rio Border Patrol Sector, Texas",10002,http://1.usa.gov/1ktSAmz,5,"officials such as coroners, medical examiners, or gov officials OR from multiple humanitarian actors"
2015-10-07|40989,2015-10-07,2015,2015-10,2015-4,40989,2302,Del Rio,Texas,29.3625,-100.89639,29.3927555,-100.9010706,1,0,1,,,1,,131,Unknown,Unknown,1193,"Near El Indio in Del Rio Border Patrol Sector, Texas",10001,http://1.usa.gov/1RRQiMK,5,"officials such as coroners, medical examiners, or gov officials OR from multiple humanitarian actors"
2015-10-29|40458,2015-10-29,2015,2015-10,2015-4,40458,2302,Del Rio,Texas,29.3625,-100.89639,29.7110679,-101.5693805,1,0,1,,,,,102,Drowning,Drowning,1295,Rio Bravo,10459,https://twitter.com/GRUPO_SIENO/status/530112433151823872,1,one media source
2015-11-20|40482,2015-11-20,2015,2015-11,2015-4,40482,2302,Del Rio,Texas,29.3625,-100.89639,29.337391,-100.941227,1,0,1,,,1,,102,Drowning,Drowning,1296,"Rio Bravo near Acunya, Mexico",10049,http://bit.ly/24FqFU5,1,one media source
2015-11-21|40483,2015-11-21,2015,2015-11,2015-4,40483,2302,Del Rio,Texas,29.3625,-100.89639,29.8171253,-101.8865303,1,0,1,,,1,,102,Drowning,Drowning,1383,"Rio Grande, recovered by Patrulla Fronteriza de México",10019,http://bit.ly/1TqDCtS,1,one media source
2015-12-31|40652,2015-12-31,2015,2015-12,2015-4,40652,2302,Del Rio,Texas,29.3625,-100.89639,29.819327526614,-101.13228185,126,0,126,,,,,129,Mixed,Mixed,1520,Texas,10465,,5,"officials such as coroners, medical examiners, or gov officials OR from multiple humanitarian actors"
2016-08-08|42644,2016-08-08,2016,2016-8,2016-3,42644,2302,Del Rio,Texas,29.3625,-100.89639,29.7898371,-101.5026165,1,0,1,,,1,,111,Presumed hyperthermia/dehydration,Exposure,1083,"Desert near Del Rio, Val Verde County, Texas",10106,http://bit.ly/2aV9eee,1,one media source
2016-08-16|42649,2016-08-16,2016,2016-8,2016-3,42649,2302,Del Rio,Texas,29.3625,-100.89639,35.2325495,-100.5998558,1,0,1,,,1,,118,Dehydration,Medical-related,1084,"Desert near Mclean, Gray County, Texas",10109,http://bit.ly/2aZK6Qg,4,"at least one NGO, IGO, or humanitarian actor with direct knowledge"
2017-02-05|30777,2017-02-05,2017,2017-2,2017-1,30777,2302,Del Rio,Texas,29.3625,-100.89639,29.1741116,-100.7961302,1,0,1,,,1,,102,Drowning,Drowning,1422,"Río Bravo, ejido Purísima, Cuidad Acuña, Cohauila, Mexico",10200,http://bit.ly/2leDSRH,1,one media source
2017-06-14|31046,2017-06-14,2017,2017-6,2017-2,31046,2302,Del Rio,Texas,29.3625,-100.89639,29.322646,-101.0053844,1,0,1,,,1,,102,Drowning,Drowning,1395,"Río Bravo, Ciudad Acuña, Coahuila, Mexico",10226,"http://bit.ly/2sGkXX4, http://bit.ly/2srjfpX, http://bit.ly/2sAdx5h",3,multiple media reports
2017-09-09|43668,2017-09-09,2017,2017-9,2017-3,43668,2302,Del Rio,Texas,29.3625,-100.89639,29.5050864,-100.3702763,1,0,1,,,1,,118,Dehydration,Medical-related,1255,"Ranch Foit, Kinney County, Texas, USA",10149,http://bit.ly/2eYFwcy,1,one media source
2017-12-31|44372,2017-12-31,2017,2017-12,2017-4,44372,2302,Del Rio,Texas,29.3625,-100.89639,29.8687682,-101.1617356,1,0,1,,,,,131,Unknown,Unknown,1540,"Val Verde County, Texas, USA",10465,,5,"officials such as coroners, medical examiners, or gov officials OR from multiple humanitarian actors"
2018-02-14|44414,2018-02-14,2018,2018-2,2018-1,44414,2302,Del Rio,Texas,29.3625,-100.89639,29.802600059813,-101.57633285356,1,0,1,,,1,,114,Fall into a canyon,Fall,1251,"Pump Canyon, ranch west of Langtry, Val Verde County, Texas, USA",10094,"http://bit.ly/2Gh0iME, http://bit.ly/2o5DNDw, http://bit.ly/2Gr8KsI",3,multiple media reports
2018-05-11|44799,2018-05-11,2018,2018-5,2018-2,44799,2302,Del Rio,Texas,29.3625,-100.89639,29.1996732,-100.7497015,1,0,1,,,1,,102,Drowning,Drowning,1071,"Canal in Moody Ranch Head Gates, Brackettville, Kinney County, Texas, USA",10446,"https://bit.ly/2wJHhma, https://bit.ly/2rHFtnB",3,multiple media reports
2018-08-28|45889,2018-08-28,2018,2018-8,2018-3,45889,2302,Del Rio,Texas,29.3625,-100.89639,29.226621585441,-100.36323888125,1,0,1,,,,,131,Unknown,Unknown,1531,"Unspecified - Dimmit, Edwards, Kinney, Maverick, Real, Uvalde or Zavala County, Texas, USA",10395,https://bit.ly/2NxqgiP,1,one media source
2019-01-16|48352,2019-01-16,2019,2019-1,2019-1,48352,2302,Del Rio,Texas,29.3625,-100.89639,29.0639375,-100.6635625,1,0,1,,,1,,102,Drowning,Drowning,1491,"Río Bravo, near Rancho Las Trancas, Jiménez, Coahuila, Mexico",10383,"https://bit.ly/2MlaI1W, https://bit.ly/2FFMxLb",3,multiple media reports
2015-03-11|40332,2015-03-11,2015,2015-3,2015-1,40332,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.3356884,-100.391984,1,0,1,,,,,102,Drowning,Drowning,1344,"Rio Grande near Guerrero, Coahuila, Mexico",10465,,1,one media source
2015-07-21|40367,2015-07-21,2015,2015-7,2015-3,40367,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.7053102,-100.5141479,3,0,3,,,3,1,102,Drowning,Drowning,1334,"Rio Grande River near the City of Eagle Pass, Texas International Bridge No. 1. Recovered by Mexican authorities. ",10008,"http://bit.ly/1MHOaPv, http://bit.ly/1CUWrln",3,multiple media reports
2015-07-28|40934,2015-07-28,2015,2015-7,2015-3,40934,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.2597513,-100.245529,2,0,2,,,,,131,Unknown,Unknown,1082,"Desert near Carrizo Springs, Dimmit County, Texas",10142,http://bit.ly/2doy9KN,1,one media source
2015-08-10|41094,2015-08-10,2015,2015-8,2015-3,41094,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6779788,-100.5213046,1,0,1,,,1,,149,Violence,Violence,1234,"Piedras Negras, Coahuila, Mexico",10026,http://bit.ly/1VRqbb0,1,one media source
2015-09-12|40401,2015-09-12,2015,2015-9,2015-3,40401,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.5969909,-100.7207861,1,0,1,,,1,,102,Drowning,Drowning,1365,"Rio Grande, ejido Centinela (not clear Mexican or US authorities)",10027,http://bit.ly/1VTxKv3,1,one media source
2015-11-17|40999,2015-11-17,2015,2015-11,2015-4,40999,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6897718,-100.5334052,1,0,1,,,1,,131,Unknown,Unknown,1233,"Pidras Negras, Coahuila, Mexico",10015,http://bit.ly/1QZDv9u,1,one media source
2015-12-09|40674,2015-12-09,2015,2015-12,2015-4,40674,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6779788,-100.5213046,1,0,1,,1,,,104,Presumed drowning,Drowning,1408,"Río Bravo, Las Adjuntas, Piedras Negras, Coahuila, Mexico
",10158,http://bit.ly/2fm566L,1,one media source
2016-01-29|42461,2016-01-29,2016,2016-1,2016-1,42461,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6901482,-100.5676516,1,0,1,,,1,,109,Hypothermia,Exposure,1336,"Rio Grande at Piedras Negras, Cohauila, Mexico",10040,http://bit.ly/1pNEq38,1,one media source
2016-03-19|42454,2016-03-19,2016,2016-3,2016-1,42454,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,30.3062589,-97.8398485,1,0,1,,,1,,139,Hit by vehicle,Vehicle-related,1081,"Crossing I-35 near Austin, Texas",10010,"http://bit.ly/1NwLDda, http://bit.ly/1Ni03D7",3,multiple media reports
2016-05-03|42537,2016-05-03,2016,2016-5,2016-2,42537,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6376735,-100.5282163,1,0,1,,,1,,102,Drowning,Drowning,1370,"Rio Grande, near Eagle Pass, Maverick county, Texas",10052,http://bit.ly/26ZoXhy,1,one media source
2016-06-01|42605,2016-06-01,2016,2016-6,2016-2,42605,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.4226837,-100.0344494,1,0,1,,,1,,131,Unknown,Unknown,1082,"Desert near Carrizo Springs, Dimmit County, Texas",10064,http://bit.ly/29obMB6,1,one media source
2016-06-15|42521,2016-06-15,2016,2016-6,2016-2,42521,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6376735,-100.5282163,1,0,1,,,1,,131,Unknown,Unknown,1566,"ranch in El Indio, Maverick County, Texas",10034,http://bit.ly/1YwAG36,1,one media source
2016-06-19|42544,2016-06-19,2016,2016-6,2016-2,42544,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.4226837,-100.0344494,1,0,1,,,1,,131,Unknown,Unknown,1091,"Dimmit County, Texas",10054,http://bit.ly/28MLZlT,1,one media source
2016-07-01|42672,2016-07-01,2016,2016-7,2016-3,42672,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.4226837,-100.0344494,,1,,,1,,,131,Unknown,Unknown,1563,"near Carrizo, Dimmit County, Texas",10122,http://bit.ly/2bWid0c,2,uncorroborated eyewitness or survey respondents
2016-07-14|42632,2016-07-14,2016,2016-7,2016-3,42632,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6376735,-100.5282163,1,0,1,,,1,,102,Drowning,Drowning,1339,"Rio Grande in ranch near Eagle Pass, Maverick County, Texas",10113,http://bit.ly/2amy7gB,1,one media source
2016-07-21|42627,2016-07-21,2016,2016-7,2016-3,42627,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6376735,-100.5282163,1,0,1,,,1,,102,Drowning,Drowning,1369,"Rio Grande, near Eagle Pass, Maverick County, Texas",10101,http://bit.ly/2aLEyKM,1,one media source
2016-07-27|42645,2016-07-27,2016,2016-7,2016-3,42645,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.4226837,-100.0344494,1,0,1,,,1,,111,Presumed hyperthermia/dehydration,Exposure,1051,"Briscoe Ranch, Dimmit County, Texas",10117,http://bit.ly/2awFgyv,1,one media source
2016-07-28|42640,2016-07-28,2016,2016-7,2016-3,42640,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6376735,-100.5282163,1,0,1,,,1,,102,Drowning,Drowning,1343,"Rio Grande near El Indio, Maverick County, Texas",10115,http://bit.ly/2atLy2q,1,one media source
2016-08-07|42657,2016-08-07,2016,2016-8,2016-3,42657,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6376735,-100.5282163,1,0,1,,,1,,102,Drowning,Drowning,1342,"Rio Grande near El 5 ranch, Maverick County, Texas",10124,http://bit.ly/2bfWtZM,1,one media source
2016-08-29|42681,2016-08-29,2016,2016-8,2016-3,42681,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6376735,-100.5282163,1,0,1,,,1,,102,Drowning,Drowning,1354,"Rio Grande south of Eagle Pass, Maverick County, Texas",10133,http://bit.ly/2cb8XoT,1,one media source
2016-09-19|42719,2016-09-19,2016,2016-9,2016-3,42719,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6376735,-100.5282163,1,0,1,,,1,,102,Drowning,Drowning,1384,"Rio Grande, south of Eagle Pass, Maverick County, Texas",10138,http://bit.ly/2dWaOft,1,one media source
2016-10-02|44529,2016-10-02,2016,2016-10,2016-4,44529,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.744368162989996,-100.46896567489999,1,0,1,,,1,,118,Dehydration,Medical-related,1079,"Comanche Ranch, near Eagle Pass, Maverick County, Texas, USA",10269,http://bit.ly/2xuXwQD,1,one media source
2016-10-11|42729,2016-10-11,2016,2016-10,2016-4,42729,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6611418,-100.5690166,1,0,1,,,1,,102,Drowning,Drowning,1382,"Rio Grande, near the agricultural land (ejido) El Centinela de Piedras Negras, Mexico",10150,http://bit.ly/2efIFn5,1,one media source
2016-10-19|42714,2016-10-19,2016,2016-10,2016-4,42714,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6913529,-100.5748614,1,0,1,,,1,,102,Drowning,Drowning,1377,"Rio Grande, near Piedras Negras, Mexico",10143,http://bit.ly/2drYAcr,1,one media source
2016-10-23|42741,2016-10-23,2016,2016-10,2016-4,42741,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6621785,-100.5764844,1,0,1,,,1,,102,Drowning,Drowning,1410,"Río Bravo, Las Dos Cruces Farm in Presidentes colony, Piedras Negras, Mexico",10151,http://bit.ly/2evKvuV,1,one media source
2016-12-21|42778,2016-12-21,2016,2016-12,2016-4,42778,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.640084,-100.5886411,1,0,1,,,,,135,Unknown (skeletal remains),Unknown,1054,"Broken Bows Ranch, Eagle Pass, Maverick County, Texas",10164,http://bit.ly/2h2Fawv,1,one media source
2017-01-29|30760,2017-01-29,2017,2017-1,2017-1,30760,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6919315,-100.514183,1,0,1,,,,,135,Unknown (skeletal remains),Unknown,1554,"White Head Ranch, Maverick, Eagle Pass, Texas, USA",10175,"http://bit.ly/2jBYaU0, http://eluni.mx/2kQgARG, http://bit.ly/2kvGqgS",3,multiple media reports
2017-01-30|30766,2017-01-30,2017,2017-1,2017-1,30766,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6910517,-100.5801829,1,0,1,,,1,,102,Drowning,Drowning,1320,"Rio Bravo, ejido San Ramón, Rancho las dos cruces, Piedras Negras, Coahuila, Mexico",10193,"http://bit.ly/2kZ0JAl, http://bit.ly/2kkpHuW, http://bit.ly/2kvxbx9, http://bit.ly/2kyfgUV",3,multiple media reports
2017-01-31|38438,2017-01-31,2017,2017-1,2017-1,38438,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.7091433,-100.4995214,1,0,1,,,1,,102,Drowning,Drowning,1321,"Rio Bravo, near Eagle Pass, Maverick County, Texas, USA",10248,http://bit.ly/2ubgmKW,5,"officials such as coroners, medical examiners, or gov officials OR from multiple humanitarian actors"
2017-02-01|30768,2017-02-01,2017,2017-2,2017-1,30768,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6910517,-100.5801829,1,0,1,,,1,,102,Drowning,Drowning,1303,"Rio Bravo, International Bridge N° 2, Piedras Negras, Coahuila, Mexico",10190,"http://bit.ly/2jzJYzz, http://bit.ly/2kREYWY, http://bit.ly/2k6tgrJ",3,multiple media reports
2017-02-01|30769,2017-02-01,2017,2017-2,2017-1,30769,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6910517,-100.5801829,1,0,1,,,1,,102,Drowning,Drowning,1409,"Río Bravo, Las Adjuntas, Rancho Vela, Piedras Negras, Coahuila, Mexico",10189,"http://bit.ly/2jzJYzz, http://bit.ly/2k2KjcG",3,multiple media reports
2017-02-23|30834,2017-02-23,2017,2017-2,2017-1,30834,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6910517,-100.5801829,1,0,1,,,1,,102,Drowning,Drowning,1412,"Río Bravo, Puente Internacional 1, near Morelos Colonia, Piedras Negras, Cohauila, Mexico",10197,http://bit.ly/2lRcWvh,1,one media source
2017-05-26|30995,2017-05-26,2017,2017-5,2017-2,30995,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6919315,-100.514183,1,0,1,,,1,,140,Train Accident,Vehicle-related,1523,"Train tracks 10 miles north of Eagle Pass, Texas, USA",10219,http://bit.ly/2rDm9dL,1,one media source
2017-05-29|31009,2017-05-29,2017,2017-5,2017-2,31009,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.7126267,-100.4589115,1,0,1,,,1,,118,Dehydration,Medical-related,1113,"Found unconscius in the desert near Eagle Pass, Texas, USA - died in hospital in Fort Duncan",10218,http://bit.ly/2r1hFZD,1,one media source
2017-06-10|31039,2017-06-10,2017,2017-6,2017-2,31039,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6791752,-100.5216602,1,0,1,,,1,,102,Drowning,Drowning,1399,"Río Bravo, Colonia Presidentes, Piedras Negras, Coahuila, Mexico",10224,http://bit.ly/2s7TWuw,1,one media source
2017-06-16|31055,2017-06-16,2017,2017-6,2017-2,31055,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.160114819909,-100.2080013125,1,0,1,,,1,,131,Unknown,Unknown,1290,"Rancho Stumberg, Dimmit County, Texas, USA",10222,http://bit.ly/2rMHf4Q,1,one media source
2017-06-20|31078,2017-06-20,2017,2017-6,2017-2,31078,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.5085892,-100.3105718,1,0,1,,,1,,118,Dehydration,Medical-related,1043,"Body found in Faith Ranch, near El Indio, Maverick County, Texas",10239,"http://bit.ly/2tR4ZXj, http://bit.ly/2rFqTfn",3,multiple media reports
2017-06-28|31108,2017-06-28,2017,2017-6,2017-2,31108,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.6919315,-100.514183,1,0,1,,,1,,102,Drowning,Drowning,1402,"Río Bravo, Eagle Pass, Texas",10234,"http://bit.ly/2tAxiN4, http://bit.ly/2vjsybR",3,multiple media reports
2017-07-10|31131,2017-07-10,2017,2017-7,2017-3,31131,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.5285009,-99.876448,1,0,1,,,1,,118,Dehydration,Medical-related,1045,"Body found in ranch near Carrizo Springs, Dimmit County, Texas, USA",10250,http://bit.ly/2uqlixZ,1,one media source
2017-07-23|44390,2017-07-23,2017,2017-7,2017-3,44390,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,29.458632041715997,-98.55459898545799,10,0,10,29,,10,,110,Presumed hyperthermia,Exposure,1542,"Walmart parking lot in San Antonio, Bexar County, Texas, USA",10284,"http://nyti.ms/2uMdFC8, http://bit.ly/2iOVRyJ, http://bit.ly/2CCPnyH, http://bit.ly/2qrgacn",3,multiple media reports
2017-07-25|35440,2017-07-25,2017,2017-7,2017-3,35440,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.695759182940996,-100.51056396697001,1,0,1,,,1,,102,Drowning,Drowning,1467,"Río Bravo, near Isla del Mudo, Piedras Negras, Coahuila, Mexico",10255,http://bit.ly/2vL2V4J,1,one media source
2017-09-13|43689,2017-09-13,2017,2017-9,2017-3,43689,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.688248824840002,-100.50923359129999,1,0,1,,,1,,102,Drowning,Drowning,1467,"Río Bravo, near Isla del Mudo, Piedras Negras, Coahuila, Mexico",10266,"http://bit.ly/2x2ahV8, http://bit.ly/2wfpvXj",3,multiple media reports
2017-09-21|43766,2017-09-21,2017,2017-9,2017-3,43766,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.709030380718,-100.51020732072,1,0,1,,,,,102,Drowning,Drowning,1486,"Río Bravo, near Ranch Leonard, Eagle Pass, Texas, USA",10268,"http://bit.ly/2xuJ6A1, http://bit.ly/2xGdSrS",3,multiple media reports
2017-09-22|43768,2017-09-22,2017,2017-9,2017-3,43768,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.711853326198,-100.49196829941,1,0,1,,,1,,118,Dehydration,Medical-related,1129,"Hospital in Eagle Pass, after being found in Stone Ranch, El Indio, Maverick County, Texas, USA",10262,"http://bit.ly/2wNloSf, http://bit.ly/2wO763N",3,multiple media reports
2017-10-08|43861,2017-10-08,2017,2017-10,2017-4,43861,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,29.250130481958,-99.748059074316,1,0,1,,,1,,138,Hit by train,Vehicle-related,1525,"Train tracks between Uvalde and Hondo, Uvalde County, Texas, USA",10271,http://bit.ly/2y7B1Uo,1,one media source
2017-10-20|43896,2017-10-20,2017,2017-10,2017-4,43896,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.608024008241,-100.44402817462,1,0,1,,,1,,102,Drowning,Drowning,1469,"Río Bravo, near Kickapoo Casino, Eagle Pass, Maverick County, Texas",10267,http://bit.ly/2xYUPdm,1,one media source
2017-12-23|44072,2017-12-23,2017,2017-12,2017-4,44072,2303,Eagle Pass,Texas,28.708890000000004,-100.49916999999999,28.9480229,-100.6239711,1,0,1,,,,,135,Unknown (skeletal remains),Unknown,1229,"Outside Quemado, Maverick County, Texas, USA",10081,http://bit.ly/2D2zY7h,1,one media source
